500 125000
394 217 12
364 439 6
161 185 4
78 427 11
226 313 8
269 290 17
23 257 11
173 319 12
34 354 8
296 196 13
315 380 15
361 392 4
472 92 19
170 257 14
403 441 14
22 465 9
216 389 13
247 99 6
257 422 13
430 457 12
285 426 8
426 148 16
261 66 5
336 131 8
462 317 2
349 451 4
452 66 18
153 251 7
163 203 2
0 99 10
73 378 10
243 428 4
50 481 8
229 116 20
264 163 5
90 47 1
277 228 9
402 216 7
432 235 18
107 340 10
109 285 6
118 253 13
271 494 11
127 205 18
44 412 1
283 482 9
148 408 9
466 330 9
79 29 8
390 306 19
14 346 6
482 426 16
110 362 20
237 445 15
257 461 9
174 427 4
408 111 7
111 61 17
266 4 17
308 151 10
343 421 11
318 108 12
172 54 13
59 363 3
89 158 7
145 430 19
96 452 17
2 144 19
425 382 10
269 70 6
462 497 1
170 333 13
31 103 20
280 310 16
31 236 9
74 110 4
302 48 20
473 248 7
151 279 13
133 10 18
63 158 7
499 157 15
263 289 4
454 184 13
206 405 2
463 115 9
52 471 1
489 28 20
337 164 19
49 39 18
91 374 19
77 36 9
437 499 9
24 350 7
199 448 14
486 10 10
270 452 6
393 167 10
262 402 14
106 311 16
477 1 4
435 455 9
433 491 5
67 406 4
83 102 3
249 231 2
65 138 1
50 338 4
431 145 7
401 59 11
37 338 10
103 16 19
254 446 12
418 117 5
395 381 9
402 279 9
58 235 10
434 13 4
252 309 7
323 300 12
331 142 19
158 281 16
332 438 19
198 192 12
439 42 16
366 10 1
180 176 17
45 448 15
260 137 11
461 480 8
57 200 18
275 432 10
105 338 1
405 172 10
150 404 18
329 330 6
486 321 11
472 377 11
400 47 1
448 14 19
431 15 9
289 50 14
223 63 11
103 7 1
13 258 15
302 377 13
444 286 9
155 299 4
415 116 20
95 242 14
448 94 9
31 274 14
242 175 8
257 24 3
209 455 12
241 352 2
328 37 2
317 479 7
462 55 7
88 423 16
35 112 12
454 344 20
163 259 16
319 279 5
213 65 7
413 191 17
370 355 16
73 380 16
360 268 12
330 473 16
240 350 16
155 331 10
359 431 6
309 23 9
203 364 3
65 165 5
128 313 15
138 53 4
141 458 9
132 145 7
420 211 3
50 290 7
222 96 4
146 199 20
404 76 12
162 8 10
282 218 20
402 245 4
194 24 11
91 217 9
449 243 16
24 62 19
173 200 7
96 428 4
184 443 3
79 268 4
439 491 14
326 260 17
422 259 11
420 300 10
168 397 2
127 258 19
23 11 4
491 232 20
162 357 14
230 409 10
22 137 3
201 357 17
73 12 3
466 393 14
269 199 2
111 374 17
150 214 19
80 205 19
119 449 8
352 440 1
66 473 9
291 51 4
323 436 17
372 342 5
73 141 2
366 18 3
287 346 16
65 460 10
276 483 7
346 145 13
56 474 8
136 99 20
249 393 18
52 50 7
381 3 5
356 213 1
281 337 1
256 101 8
197 453 10
436 149 7
10 372 2
190 39 20
445 389 15
258 120 8
189 359 15
410 150 2
59 185 12
88 58 8
41 369 12
175 26 10
31 381 4
440 491 17
463 153 9
191 375 7
240 398 8
131 170 8
102 196 11
15 329 5
39 277 8
172 365 8
273 223 13
319 374 18
37 331 6
105 215 5
286 112 10
83 322 2
148 485 19
137 256 6
246 385 19
241 394 2
225 425 10
282 151 15
404 197 5
384 162 20
470 128 5
397 144 9
72 241 13
376 389 7
324 484 20
86 432 20
10 380 17
2 41 20
432 389 12
205 434 18
126 406 1
261 229 15
32 438 18
427 176 11
221 95 19
183 415 4
151 343 19
223 136 16
281 160 4
52 137 14
406 426 3
272 28 19
138 181 18
86 263 7
318 361 14
68 299 11
61 125 2
457 74 16
152 135 4
280 170 18
126 164 5
306 8 1
386 43 18
493 470 3
78 111 12
176 146 2
55 334 2
237 414 5
210 50 9
268 467 17
414 102 1
256 410 10
464 376 4
275 16 9
136 98 8
233 73 4
330 195 18
443 335 5
425 441 14
306 104 17
49 433 7
237 197 11
408 194 20
225 233 17
124 50 5
51 175 15
26 418 2
98 473 10
25 464 12
337 186 18
51 2 15
42 205 4
163 123 4
487 484 6
224 375 13
127 212 13
169 334 1
466 417 19
369 420 15
114 106 20
57 394 13
172 315 18
285 379 2
383 23 18
388 443 18
354 218 10
357 193 15
157 82 2
153 2 8
100 1 4
331 371 17
287 441 4
296 31 14
257 211 4
315 244 3
194 301 1
133 456 15
159 359 16
356 435 9
306 67 17
153 296 12
43 48 16
244 72 14
145 330 1
407 19 10
476 161 1
410 93 16
448 166 17
11 223 3
137 57 4
304 310 10
312 118 9
245 361 18
273 460 16
267 392 9
207 153 8
215 230 1
387 184 6
27 387 18
327 484 19
110 174 15
350 365 3
31 215 14
152 354 2
142 294 3
154 286 6
76 178 5
288 343 10
289 93 15
40 20 19
418 439 10
498 308 3
51 491 5
71 79 7
361 386 14
495 376 10
493 299 2
191 121 19
217 168 2
397 405 12
317 15 2
287 483 4
240 52 4
137 16 1
466 495 4
251 0 13
225 97 13
296 245 4
433 267 5
76 189 3
382 250 12
265 89 7
315 151 3
452 282 20
37 340 2
10 445 11
229 265 8
265 425 5
121 24 13
59 20 7
345 34 3
82 125 19
341 131 12
388 485 5
110 167 12
187 410 10
488 147 14
347 137 10
47 410 18
477 250 10
146 214 20
166 47 16
323 417 1
310 448 6
302 2 14
481 181 4
283 305 17
5 459 14
449 38 19
82 448 14
145 207 1
53 74 14
388 474 3
372 402 18
282 494 12
142 194 3
89 310 15
215 396 9
234 75 2
246 284 12
343 422 19
73 246 8
127 417 12
162 41 2
350 433 11
402 199 6
57 59 5
94 349 20
139 3 6
120 383 20
330 10 15
300 272 12
403 227 11
160 173 11
38 214 5
348 440 13
337 377 13
142 92 18
203 308 7
53 61 20
376 42 5
89 402 4
3 441 14
91 264 1
412 275 10
81 164 6
151 265 18
205 281 12
81 113 19
214 48 14
438 325 15
365 457 16
329 112 19
118 493 16
51 360 2
323 435 11
62 291 11
221 452 9
212 170 7
196 254 5
395 96 7
321 431 15
376 374 18
217 182 13
114 466 18
307 426 8
75 452 8
41 124 1
154 135 4
271 307 15
265 450 12
118 246 15
158 491 11
387 178 19
434 329 10
385 424 11
252 90 8
263 73 2
429 335 2
396 120 16
250 92 17
38 127 7
49 198 10
